PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2017/Apr2017.pdf
Title page: 12 | Table start page: 13
Parsing page: 14 (crop_right_ratio=0.65)
Numeric centers (xc): (168.74817767999997, 222.14668932, 328.88524444999996)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
①②②/① |  |  | ①②②/① | 
(玄米千ﾄﾝ)(玄米千ﾄﾝ) |  |  | 玄米千ﾄﾝ)(玄米千ﾄﾝ | 
東京 | 東京 |  | general | 
神奈川 | 神奈川 |  | general | (2.9, 1.4, 1.4)
山梨 | 山梨 |  | general | (6.3, 2.3, 2.3)
(コシヒカリ) |  |  | コシヒカリ | (5.4, 1.9, 1.9)
(あさひの夢) |  |  | あさひの夢 | (0.2, 0.1, 0.1)
長野 | 長野 |  | general | (71.6, 61.6, 22.8)
(コシヒカリ) |  |  | コシヒカリ | (56.9, 48.9, 16.5)
(あきたこまち) |  |  | あきたこまち | (8.2, 6.9, 2.9)
静岡 | 静岡 |  | general | (7.2, 2.9, 2.9)
(コシヒカリ) |  |  | コシヒカリ | (4.8, 2.0, 2.0)
(きぬむすめ) |  |  | きぬむすめ | (0.8, 0.3, 0.3)
(あいちのかおり) |  |  | あいちのかおり | (0.9, 0.3, 0.3)
新潟 | 新潟 |  | general | (282.4, 228.3, 101.5)
(コシヒカリ一般) |  |  | コシヒカリ一般 | (162.4, 127.6, 47.7)
(コシヒカリ魚沼) |  |  | コシヒカリ魚沼 | (25.4, 16.2, 10.4)
(コシヒカリ岩船) |  |  | コシヒカリ岩船 | (13.2, 11.3, 5.0)
(コシヒカリ佐渡) |  |  | コシヒカリ佐渡 | (15.7, 14.1, 7.1)
(こしいぶき) |  |  | こしいぶき | (42.9, 38.3, 17.7)
富山 | 富山 |  | general | (110.2, 85.2, 36.6)
(コシヒカリ) |  |  | コシヒカリ | (90.8, 69.1, 29.2)
(てんたかく) |  |  | てんたかく | (9.4, 7.1, 4.2)
石川 | 石川 |  | general | (33.3, 29.1, 6.8)
(コシヒカリ) |  |  | コシヒカリ | (23.5, 20.8, 4.8)
(ゆめみづほ) |  |  | ゆめみづほ | (6.9, 6.3, 1.2)
福井 | 福井 |  | general | (63.7, 62.9, 27.5)
(コシヒカリ) |  |  | コシヒカリ | (31.1, 30.8, 11.3)
(ハナエチゼン) |  |  | ハナエチゼン | (19.2, 19.1, 10.9)
岐阜 | 岐阜 |  | general | (27.4, 22.6, 9.6)
(ハツシモ) |  |  | ハツシモ | (11.7, 9.7, 3.0)
(コシヒカリ) |  |  | コシヒカリ | (8.7, 6.6, 2.6)
(あきたこまち) |  |  | あきたこまち | (2.1, 2.0, 1.7)
愛知 | 愛知 |  | general | (37.0, 30.2, 14.1)
(あいちのかおり) |  |  | あいちのかおり | (18.3, 15.5, 5.7)
(コシヒカリ) |  |  | コシヒカリ | (11.3, 9.8, 5.3)
(大地の風) |  |  | 大地の風 | (1.5, 1.0, 0.5)
三重 | 三重 |  | general | (31.3, 19.8, 12.1)
(コシヒカリ一般) |  |  | コシヒカリ一般 | (17.8, 11.0, 6.4)
(コシヒカリ伊賀) |  |  | コシヒカリ伊賀 | (6.7, 4.5, 2.8)
(キヌヒカリ) |  |  | キヌヒカリ | (2.6, 1.0, 0.6)
滋賀 | 滋賀 |  | general | (62.0, 63.5, 28.8)
(コシヒカリ) |  |  | コシヒカリ | (23.3, 24.2, 9.6)
(キヌヒカリ) |  |  | キヌヒカリ | (12.9, 13.1, 6.4)
(日本晴) |  |  | 日本晴 | (5.8, 6.4, 1.9)
京都 | 京都 |  | general | (14.3, 14.3, 5.2)
(コシヒカリ) |  |  | コシヒカリ | (8.5, 8.5, 2.8)
(キヌヒカリ) |  |  | キヌヒカリ | (3.1, 3.1, 1.2)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (40.2, 30.2, 18.8)
(コシヒカリ) |  |  | コシヒカリ | (11.4, 9.0, 4.9)
(ヒノヒカリ) |  |  | ヒノヒカリ | (4.5, 2.6, 1.5)
(キヌヒカリ) |  |  | キヌヒカリ | (4.2, 2.7, 1.7)
奈良 | 奈良 |  | general | (9.2, 9.2, 4.1)
(ヒノヒカリ) |  |  | ヒノヒカリ | (7.2, 7.2, 3.1)
(コシヒカリ) |  |  | コシヒカリ | (0.5, 0.5, 0.3)
和歌山 | 和歌山 |  | general | (2.1, 2.1, 0.8)
鳥取 | 鳥取 |  | general | (12.0, 10.6, 5.0)
(コシヒカリ) |  |  | コシヒカリ | (3.0, 2.5, 1.1)
(きぬむすめ) |  |  | きぬむすめ | (4.0, 3.7, 1.5)
(ひとめぼれ) |  |  | ひとめぼれ | (4.8, 4.3, 2.3)
‐10 |  |  | ‐10 | 
