PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2017/Nov2017.pdf
Title page: 12 | Table start page: 12
Parsing page: 14 (crop_right_ratio=0.65)
Numeric centers (xc): (178.73328376, 250.3127968, 321.86183288)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(千玄米ﾄﾝ)(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ)(千玄米ﾄﾝ | 
島根 | 島根 |  | general | (27.0, 24.8, 2.0)
コシヒカリ |  |  | コシヒカリ | (17.6, 9.9, 1.2)
きぬむすめ |  |  | きぬむすめ | (3.4, 9.0, 0.1)
つや姫 |  |  | つや姫 | (3.8, 3.7, 0.2)
岡山 | 岡山 |  | general | (1.6, 1.5, 0.6)
アケボノ |  |  | アケボノ | 
あきたこまち |  |  | あきたこまち | (0.5, 0.4, 0.2)
ヒノヒカリ |  |  | ヒノヒカリ | 
広島 | 広島 |  | general | (15.4, 29.3, 1.5)
コシヒカリ |  |  | コシヒカリ | (10.4, 13.6, 1.1)
あきろまん |  |  | あきろまん | (0.1, 2.9, 0.0)
ヒノヒカリ |  |  | ヒノヒカリ | (0.0, 1.0, nan)
山口 | 山口 |  | general | (12.7, 24.6, 0.7)
コシヒカリ |  |  | コシヒカリ | (6.7, 8.2, 0.5)
ひとめぼれ |  |  | ひとめぼれ | (5.2, 5.4, 0.2)
ヒノヒカリ |  |  | ヒノヒカリ | (0.0, 5.6, nan)
徳島 | 徳島 |  | general | (5.1, 1.8, 0.9)
コシヒカリ |  |  | コシヒカリ | (2.8, 1.2, 0.6)
キヌヒカリ |  |  | キヌヒカリ | (1.4, 0.4, 0.1)
香川 | 香川 |  | general | (3.8, 14.1, 0.7)
ヒノヒカリ |  |  | ヒノヒカリ | (nan, 5.9, nan)
コシヒカリ |  |  | コシヒカリ | (3.5, 5.5, 0.7)
愛媛 | 愛媛 |  | general | (3.6, 1.7, 0.7)
コシヒカリ |  |  | コシヒカリ | (3.1, 0.7, 0.6)
ヒノヒカリ |  |  | ヒノヒカリ | 
あきたこまち |  |  | あきたこまち | (0.4, 0.1, 0.1)
高知 | 高知 |  | general | (6.5, 4.4, 2.3)
コシヒカリ |  |  | コシヒカリ | (5.7, 3.5, 1.8)
ヒノヒカリ |  |  | ヒノヒカリ | (0.0, nan, nan)
福岡 | 福岡 |  | general | (5.8, 33.6, 1.1)
夢つくし |  |  | 夢つくし | (5.4, 11.1, 1.1)
ヒノヒカリ |  |  | ヒノヒカリ | (nan, 10.1, nan)
元気つくし |  |  | 元気つくし | (0.1, 12.0, nan)
佐賀 | 佐賀 |  | general | (6.5, 27.6, 1.7)
さがびより |  |  | さがびより | (nan, 10.4, nan)
夢しずく |  |  | 夢しずく | (3.3, 8.0, 0.5)
ヒノヒカリ |  |  | ヒノヒカリ | (nan, 6.5, nan)
長崎 | 長崎 |  | general | (1.6, 4.4, 0.4)
ヒノヒカリ |  |  | ヒノヒカリ | (nan, 1.2, nan)
にこまる |  |  | にこまる | (nan, 1.7, nan)
コシヒカリ |  |  | コシヒカリ | (1.2, 1.1, 0.3)
熊本 | 熊本 |  | general | (4.9, 18.4, 2.3)
ヒノヒカリ |  |  | ヒノヒカリ | (0.1, 5.3, 0.0)
森のくまさん |  |  | 森のくまさん | 
コシヒカリ |  |  | コシヒカリ | (3.9, 5.3, 1.6)
大分 | 大分 |  | general | (0.7, 3.3, 0.4)
ヒノヒカリ |  |  | ヒノヒカリ | (0.0, 2.2, nan)
ひとめぼれ |  |  | ひとめぼれ | (0.0, 0.0, 0.0)
宮崎 | 宮崎 |  | general | (10.5, 9.9, 10.4)
コシヒカリ |  |  | コシヒカリ | (9.9, 9.9, 9.9)
ヒノヒカリ |  |  | ヒノヒカリ | (0.0, nan, 0.0)
鹿児島 | 鹿児島 |  | general | (5.8, 5.8, 5.8)
ヒノヒカリ |  |  | ヒノヒカリ | 
あきほなみ |  |  | あきほなみ | 
コシヒカリ |  |  | コシヒカリ | (3.9, 3.9, 3.9)
沖縄 | 沖縄 |  | general | (1.4, 1.4, 1.2)
全国① |  | YES | general | (737.0, 1477.0, 109.0)
参前年同月(28年産)② |  |  | 参前年同月(28年産)② | 
考前年同月差(①-②) |  |  | 考前年同月差(①-②) | 
‐7 |  |  | ‐7 | 
