PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2018/Dec2018.pdf
Title page: 7 | Table start page: 7
Parsing page: 7 (crop_right_ratio=0.65)
Numeric centers (xc): (185.911168725, 255.899634015, 328.31743666)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
（２）平成３０年産米の産地別契約・販売状況（累計、うるち |  |  | （２）平成３０年産米の産地別契約・販売状況（累計、うるち | 
(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ | 
北海道 | 北海道 |  | general | (164.3, 195.0, 27.4)
ななつぼし |  |  | ななつぼし | (76.6, 102.0, 13.3)
ゆめぴりか |  |  | ゆめぴりか | (42.6, 47.5, 4.2)
きらら３９７ |  |  | きらら３９７ | (18.8, 19.5, 0.8)
青森 | 青森 |  | general | (80.0, 61.4, 6.3)
まっしぐら |  |  | まっしぐら | (52.0, 34.0, 2.5)
つがるロマン |  |  | つがるロマン | (20.4, 18.6, 1.5)
岩手 | 岩手 |  | general | (79.2, 97.0, 4.5)
ひとめぼれ |  |  | ひとめぼれ | (59.2, 71.4, 3.2)
あきたこまち |  |  | あきたこまち | (10.9, 12.7, 0.2)
いわてっこ |  |  | いわてっこ | (2.1, 2.5, 0.1)
宮城 | 宮城 |  | general | (105.3, 128.3, 9.4)
ひとめぼれ |  |  | ひとめぼれ | (83.4, 108.4, 6.8)
つや姫 |  |  | つや姫 | (8.9, 8.5, 0.9)
ササニシキ |  |  | ササニシキ | (5.4, 6.3, 0.7)
秋田 | 秋田 |  | general | (189.6, 192.7, 17.5)
あきたこまち |  |  | あきたこまち | (162.8, 166.0, 16.3)
めんこいな |  |  | めんこいな | (11.1, 6.9, 0.1)
ひとめぼれ |  |  | ひとめぼれ | (5.3, 15.4, 0.4)
山形 | 山形 |  | general | (104.0, 94.9, 11.1)
はえぬき |  |  | はえぬき | (58.6, 47.7, 3.4)
つや姫 |  |  | つや姫 | (22.1, 23.5, 3.8)
ひとめぼれ |  |  | ひとめぼれ | (7.8, 9.2, 1.1)
福島 | 福島 |  | general | (106.6, 56.2, 3.2)
コシヒカリ中通り |  |  | コシヒカリ中通り | (35.3, 6.0, 0.7)
コシヒカリ会津 |  |  | コシヒカリ会津 | (24.8, 29.5, 0.7)
コシヒカリ浜通り |  |  | コシヒカリ浜通り | (3.6, 3.7, 0.1)
ひとめぼれ |  |  | ひとめぼれ | (20.9, 10.3, 0.5)
天のつぶ |  |  | 天のつぶ | (11.6, 3.4, 0.3)
茨城 | 茨城 |  | general | (56.2, 29.0, 10.4)
コシヒカリ |  |  | コシヒカリ | (41.2, 21.1, 5.2)
あきたこまち |  |  | あきたこまち | (9.1, 6.5, 4.6)
ミルキークイーン |  |  | ミルキークイーン | (0.7, 1.0, 0.3)
栃木 | 栃木 |  | general | (101.8, 76.8, 6.3)
コシヒカリ |  |  | コシヒカリ | (79.7, 68.7, 4.8)
あさひの夢 |  |  | あさひの夢 | (5.6, 3.1, 0.4)
なすひかり |  |  | なすひかり | (7.8, 2.4, 0.8)
群馬 | 群馬 |  | general | (5.7, 0.5, 0.4)
あさひの夢 |  |  | あさひの夢 | (4.0, 0.1, 0.1)
ゆめまつり |  |  | ゆめまつり | (1.1, 0.0, 0.0)
埼玉 | 埼玉 |  | general | (11.6, 10.5, 1.0)
彩のかがやき |  |  | 彩のかがやき | (4.0, 5.2, 0.5)
コシヒカリ |  |  | コシヒカリ | (4.5, 3.7, 0.4)
彩のきずな |  |  | 彩のきずな | (2.4, 1.2, 0.0)
千葉 | 千葉 |  | general | (68.5, 35.8, 19.1)
コシヒカリ |  |  | コシヒカリ | (32.1, 15.5, 6.9)
ふさこがね |  |  | ふさこがね | (15.6, 7.0, 3.4)
ふさおとめ |  |  | ふさおとめ | (16.2, 10.2, 7.0)
5,000トン以上）である。 |  |  | 5,000トン以上）である。 | 
２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 |  |  | ２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 | 
９「参考：前年同月比」で、30年産又は29年産の同時期に数量がなかった場合は、「…」としている。 |  |  | ９「参考：前年同月比」で、30年産又は29年産の同時期に数量がなかった場合は、「…」としている。 | 
‐5 |  |  | ‐5 | 
