PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2018/Jul2018.pdf
Title page: 8 | Table start page: 9
Parsing page: 11 (crop_right_ratio=0.65)
Numeric centers (xc): (175.645198325, 231.80280907499997, 346.64079305)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
①②②/① |  |  | ①②②/① | 
(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ | 
島根 | 島根 |  | general | (38.8, 36.1, 25.5)
コシヒカリ |  |  | コシヒカリ | (18.0, 17.1, 12.6)
きぬむすめ |  |  | きぬむすめ | (13.5, 11.8, 7.7)
つや姫 |  |  | つや姫 | (4.4, 4.4, 3.0)
岡山 | 岡山 |  | general | (25.3, 25.1, 12.5)
アケボノ |  |  | アケボノ | (7.5, 7.5, 2.4)
あきたこまち |  |  | あきたこまち | (2.0, 1.9, 1.4)
ヒノヒカリ |  |  | ヒノヒカリ | (3.1, 3.1, 1.5)
広島 | 広島 |  | general | (34.6, 34.6, 23.0)
コシヒカリ |  |  | コシヒカリ | (15.2, 14.8, 10.4)
あきろまん |  |  | あきろまん | (3.8, 3.5, 2.4)
ヒノヒカリ |  |  | ヒノヒカリ | (1.2, 1.3, 0.9)
山口 | 山口 |  | general | (32.7, 32.3, 17.9)
コシヒカリ |  |  | コシヒカリ | (9.3, 9.1, 5.6)
ひとめぼれ |  |  | ひとめぼれ | (7.8, 7.7, 4.9)
ヒノヒカリ |  |  | ヒノヒカリ | (6.9, 6.8, 3.5)
徳島 | 徳島 |  | general | (5.3, 5.3, 4.1)
コシヒカリ |  |  | コシヒカリ | (2.9, 2.9, 2.3)
キヌヒカリ |  |  | キヌヒカリ | (1.5, 1.5, 1.2)
香川 | 香川 |  | general | (23.4, 23.4, 13.9)
ヒノヒカリ |  |  | ヒノヒカリ | (9.9, 9.9, 5.2)
コシヒカリ |  |  | コシヒカリ | (7.6, 7.6, 5.3)
愛媛 | 愛媛 |  | general | (11.6, 8.7, 8.3)
コシヒカリ |  |  | コシヒカリ | (4.3, 3.6, 3.5)
ヒノヒカリ |  |  | ヒノヒカリ | (2.2, 1.5, 1.4)
あきたこまち |  |  | あきたこまち | (1.5, 1.1, 1.1)
高知 | 高知 |  | general | (6.9, 6.9, 5.3)
コシヒカリ |  |  | コシヒカリ | (5.7, 5.7, 4.1)
ヒノヒカリ |  |  | ヒノヒカリ | (0.2, 0.2, 0.2)
福岡 | 福岡 |  | general | (53.8, 50.2, 35.0)
夢つくし |  |  | 夢つくし | (16.9, 16.1, 12.5)
ヒノヒカリ |  |  | ヒノヒカリ | (14.5, 14.1, 9.3)
元気つくし |  |  | 元気つくし | (19.0, 17.0, 11.4)
佐賀 | 佐賀 |  | general | (42.6, 42.6, 24.5)
さがびより |  |  | さがびより | (13.4, 13.4, 6.0)
夢しずく |  |  | 夢しずく | (13.4, 13.4, 9.1)
ヒノヒカリ |  |  | ヒノヒカリ | (10.1, 10.1, 5.4)
長崎 | 長崎 |  | general | (11.5, 11.3, 7.4)
ヒノヒカリ |  |  | ヒノヒカリ | (3.7, 3.6, 2.4)
にこまる |  |  | にこまる | (4.8, 4.6, 2.8)
コシヒカリ |  |  | コシヒカリ | (1.6, 1.5, 1.3)
熊本 | 熊本 |  | general | (37.4, 28.8, 23.0)
ヒノヒカリ |  |  | ヒノヒカリ | (15.4, 11.6, 9.2)
森のくまさん |  |  | 森のくまさん | (7.5, 6.1, 3.8)
コシヒカリ |  |  | コシヒカリ | (6.4, 5.6, 4.5)
大分 | 大分 |  | general | (13.3, 13.4, 7.2)
ヒノヒカリ |  |  | ヒノヒカリ | (9.4, 9.4, 4.5)
ひとめぼれ |  |  | ひとめぼれ | (0.8, 0.9, 0.5)
宮崎 | 宮崎 |  | general | (16.2, 16.2, 14.8)
コシヒカリ |  |  | コシヒカリ | (9.9, 9.9, 9.9)
ヒノヒカリ |  |  | ヒノヒカリ | (5.3, 5.3, 4.0)
鹿児島 | 鹿児島 |  | general | (13.1, 13.1, 11.1)
ヒノヒカリ |  |  | ヒノヒカリ | (5.0, 5.0, 3.6)
あきほなみ |  |  | あきほなみ | (2.1, 2.1, 1.6)
コシヒカリ |  |  | コシヒカリ | (3.9, 3.9, 3.9)
沖縄 | 沖縄 |  | general | (1.5, 1.5, 1.5)
全国① |  | YES | general | (2870.0, 2674.0, 1780.0)
参前年同月(28年産)② |  |  | 参前年同月(28年産)② | 
考前年同月差(①-②) |  |  | 考前年同月差(①-②) | 
‐9 |  |  | ‐9 | 
