PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2019/Aug2019.pdf
Title page: 17 | Table start page: 18
Parsing page: 19 (crop_right_ratio=0.65)
Numeric centers (xc): (166.4743224, 224.25310032, 339.81163008000004)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
契約比率 |  |  | 契約比率 | 
①②②/① |  |  | ①②②/① | 
(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ | 
新潟 | 新潟 |  | general | (261.0, 254.5, 199.9)
コシヒカリ一般 |  |  | コシヒカリ一般 | (125.8, 122.8, 100.3)
コシヒカリ魚沼 |  |  | コシヒカリ魚沼 | (31.2, 28.5, 25.6)
コシヒカリ佐渡 |  |  | コシヒカリ佐渡 | (11.9, 11.7, 9.7)
コシヒカリ岩船 |  |  | コシヒカリ岩船 | (10.5, 10.4, 8.4)
こしいぶき |  |  | こしいぶき | (46.4, 45.0, 30.8)
富山 | 富山 |  | general | (93.1, 87.5, 71.1)
コシヒカリ |  |  | コシヒカリ | (71.4, 67.1, 54.9)
てんたかく |  |  | てんたかく | (8.4, 7.6, 6.7)
石川 | 石川 |  | general | (27.2, 27.1, 15.5)
コシヒカリ |  |  | コシヒカリ | (16.8, 16.8, 8.7)
ゆめみづほ |  |  | ゆめみづほ | (5.4, 5.4, 3.2)
福井 | 福井 |  | general | (69.6, 68.4, 51.5)
コシヒカリ |  |  | コシヒカリ | (29.9, 29.5, 22.1)
ハナエチゼン |  |  | ハナエチゼン | (20.2, 20.1, 17.1)
岐阜 | 岐阜 |  | general | (19.2, 19.2, 13.4)
ハツシモ |  |  | ハツシモ | (7.4, 7.1, 4.4)
コシヒカリ |  |  | コシヒカリ | (6.6, 6.3, 4.8)
あきたこまち |  |  | あきたこまち | (1.7, 1.7, 1.6)
愛知 | 愛知 |  | general | (31.8, 31.0, 23.2)
あいちのかおり |  |  | あいちのかおり | (16.9, 17.2, 11.5)
コシヒカリ |  |  | コシヒカリ | (9.6, 9.3, 7.6)
大地の風 |  |  | 大地の風 | (1.3, 1.3, 1.0)
三重 | 三重 |  | general | (28.6, 27.1, 21.7)
コシヒカリ一般 |  |  | コシヒカリ一般 | (15.7, 15.4, 12.2)
コシヒカリ伊賀 |  |  | コシヒカリ伊賀 | (5.9, 5.8, 4.4)
キヌヒカリ |  |  | キヌヒカリ | (2.1, 2.0, 1.4)
滋賀 | 滋賀 |  | general | (56.6, 53.7, 40.5)
コシヒカリ |  |  | コシヒカリ | (20.6, 19.4, 14.1)
キヌヒカリ |  |  | キヌヒカリ | (10.8, 9.9, 8.2)
日本晴 |  |  | 日本晴 | (4.5, 4.3, 2.2)
京都 | 京都 |  | general | (9.4, 9.4, 7.0)
コシヒカリ |  |  | コシヒカリ | (5.4, 5.8, 4.2)
キヌヒカリ |  |  | キヌヒカリ | (2.2, 2.4, 1.8)
ヒノヒカリ |  |  | ヒノヒカリ | (0.9, 0.8, 0.5)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (40.1, 37.7, 29.9)
コシヒカリ |  |  | コシヒカリ | (11.1, 11.0, 9.6)
ヒノヒカリ |  |  | ヒノヒカリ | (3.7, 3.4, 2.7)
キヌヒカリ |  |  | キヌヒカリ | (3.4, 3.2, 2.6)
奈良 | 奈良 |  | general | (7.9, 6.0, 6.0)
ヒノヒカリ |  |  | ヒノヒカリ | (6.1, 4.5, 4.5)
和歌山 | 和歌山 |  | general | (0.9, 0.9, 0.9)
鳥取 | 鳥取 |  | general | (22.3, 21.3, 17.1)
コシヒカリ |  |  | コシヒカリ | (7.6, 7.4, 5.9)
きぬむすめ |  |  | きぬむすめ | (8.4, 7.9, 6.0)
ひとめぼれ |  |  | ひとめぼれ | (5.9, 5.7, 4.8)
島根 | 島根 |  | general | (38.0, 36.6, 27.7)
コシヒカリ |  |  | コシヒカリ | (16.5, 15.9, 12.5)
きぬむすめ |  |  | きぬむすめ | (14.4, 13.8, 9.7)
つや姫 |  |  | つや姫 | (4.5, 4.5, 3.3)
岡山 | 岡山 |  | general | (22.4, 22.7, 13.2)
アケボノ |  |  | アケボノ | (6.7, 6.7, 3.0)
あきたこまち |  |  | あきたこまち | (1.8, 1.8, 1.5)
ヒノヒカリ |  |  | ヒノヒカリ | (2.7, 2.7, 1.7)
広島 | 広島 |  | general | (32.4, 39.0, 23.4)
コシヒカリ |  |  | コシヒカリ | (13.8, 16.4, 10.7)
あきさかり |  |  | あきさかり | (5.8, 6.5, 4.3)
あきろまん |  |  | あきろまん | (3.1, 3.9, 2.0)
