PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2019/Mar2019.pdf
Title page: 15 | Table start page: 16
Parsing page: 16 (crop_right_ratio=0.65)
Numeric centers (xc): (164.38412306499998, 223.063627285, 340.5448003850001)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
契約比率 |  |  | 契約比率 | 
①②②/① |  |  | ①②②/① | 
(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ | 
北海道 | 北海道 |  | general | (293.0, 232.7, 93.9)
ななつぼし |  |  | ななつぼし | (132.3, 117.7, 43.7)
ゆめぴりか |  |  | ゆめぴりか | (74.0, 52.7, 18.1)
きらら３９７ |  |  | きらら３９７ | (32.7, 21.2, 5.0)
青森 | 青森 |  | general | (141.4, 101.7, 28.4)
まっしぐら |  |  | まっしぐら | (97.7, 67.2, 17.1)
つがるロマン |  |  | つがるロマン | (34.0, 25.0, 6.1)
岩手 | 岩手 |  | general | (128.3, 117.9, 29.0)
ひとめぼれ |  |  | ひとめぼれ | (98.7, 91.9, 22.5)
あきたこまち |  |  | あきたこまち | (14.8, 12.7, 2.6)
いわてっこ |  |  | いわてっこ | (2.7, 2.5, 0.6)
宮城 | 宮城 |  | general | (143.1, 138.3, 41.3)
ひとめぼれ |  |  | ひとめぼれ | (115.3, 116.4, 32.2)
つや姫 |  |  | つや姫 | (10.4, 8.9, 3.2)
ササニシキ |  |  | ササニシキ | (7.6, 6.9, 2.5)
秋田 | 秋田 |  | general | (240.2, 218.2, 64.2)
あきたこまち |  |  | あきたこまち | (192.4, 183.9, 56.0)
めんこいな |  |  | めんこいな | (14.6, 10.6, 2.0)
ひとめぼれ |  |  | ひとめぼれ | (18.6, 15.8, 3.1)
山形 | 山形 |  | general | (155.4, 151.6, 49.1)
はえぬき |  |  | はえぬき | (88.6, 86.2, 22.8)
つや姫 |  |  | つや姫 | (31.8, 31.0, 12.9)
ひとめぼれ |  |  | ひとめぼれ | (13.4, 11.9, 5.6)
福島 | 福島 |  | general | (137.0, 98.4, 22.9)
コシヒカリ中通り |  |  | コシヒカリ中通り | (43.1, 25.6, 6.7)
コシヒカリ会津 |  |  | コシヒカリ会津 | (33.3, 33.1, 5.0)
コシヒカリ浜通り |  |  | コシヒカリ浜通り | (6.2, 5.2, 0.7)
ひとめぼれ |  |  | ひとめぼれ | (26.5, 17.5, 5.4)
天のつぶ |  |  | 天のつぶ | (15.9, 10.3, 1.6)
茨城 | 茨城 |  | general | (66.7, 41.0, 25.2)
コシヒカリ |  |  | コシヒカリ | (49.2, 28.5, 15.4)
あきたこまち |  |  | あきたこまち | (9.9, 7.7, 7.7)
ミルキークイーン |  |  | ミルキークイーン | (1.0, 1.3, 0.7)
栃木 | 栃木 |  | general | (135.6, 89.5, 24.4)
コシヒカリ |  |  | コシヒカリ | (106.2, 78.0, 19.5)
あさひの夢 |  |  | あさひの夢 | (9.5, 4.0, 1.4)
なすひかり |  |  | なすひかり | (8.9, 3.4, 1.9)
群馬 | 群馬 |  | general | (24.9, 14.0, 6.4)
あさひの夢 |  |  | あさひの夢 | (17.5, 10.0, 4.3)
ゆめまつり |  |  | ゆめまつり | (4.8, 2.0, 1.3)
埼玉 | 埼玉 |  | general | (17.9, 13.4, 4.3)
彩のかがやき |  |  | 彩のかがやき | (8.5, 7.4, 2.3)
コシヒカリ |  |  | コシヒカリ | (4.7, 3.9, 1.2)
彩のきずな |  |  | 彩のきずな | (3.4, 1.5, 0.4)
千葉 | 千葉 |  | general | (72.7, 56.3, 38.1)
コシヒカリ |  |  | コシヒカリ | (33.6, 25.6, 15.3)
ふさこがね |  |  | ふさこがね | (16.2, 12.1, 7.7)
ふさおとめ |  |  | ふさおとめ | (17.6, 14.2, 11.8)
東京 | 東京 |  | general | (0.0, 0.0, 0.0)
神奈川 | 神奈川 |  | general | (2.3, 1.0, 1.0)
山梨 | 山梨 |  | general | (5.8, 1.6, 1.6)
コシヒカリ |  |  | コシヒカリ | (5.0, 1.4, 1.4)
長野 | 長野 |  | general | (65.9, 62.7, 16.7)
コシヒカリ |  |  | コシヒカリ | (52.2, 50.0, 12.5)
あきたこまち |  |  | あきたこまち | (7.4, 6.9, 1.4)
静岡 | 静岡 |  | general | (6.0, 2.7, 2.5)
コシヒカリ |  |  | コシヒカリ | (4.0, 1.7, 1.7)
きぬむすめ |  |  | きぬむすめ | (0.7, 0.3, 0.3)
あいちのかおり |  |  | あいちのかおり | (0.8, 0.4, 0.4)
‐7 |  |  | ‐7 | 
