text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
集荷・契約・販売数量（累計、うるち米、平成31年3月末現在）（北海道から静岡まで）,42.9,385.44324672000016,39.98028999999997,5933.9802899999995,49.72379000000001,True,9.74350000000004,342.5432467200002,ltr,HJKOLI+MS-PGothic,9.74350000000004
①,147.48,154.6221,83.43482800000004,5977.434828,90.58002799999997,True,7.145199999999932,7.142099999999999,ltr,HJKOLI+MS-PGothic,7.145199999999932
②,205.92023325,213.06233325,83.43482800000004,5977.434828,90.58002799999997,True,7.145199999999932,7.142099999999999,ltr,HJKOLI+MS-PGothic,7.145199999999932
②/①,257.82044553000003,276.00280371,83.43482800000004,5977.434828,90.58002799999997,True,7.145199999999932,18.182358179999994,ltr,HJKOLI+MS-PGothic,7.145199999999932
③,321.48083967,328.62293967000005,83.43482800000004,5977.434828,90.58002799999997,True,7.145199999999932,7.142100000000028,ltr,HJKOLI+MS-PGothic,7.145199999999932
③/①,373.44104559000004,386.89300000000003,83.43482800000004,5977.434828,90.58002799999997,True,7.145199999999932,13.451954409999985,ltr,HJKOLI+MS-PGothic,7.145199999999932
(千玄米ﾄﾝ),146.16013991999998,178.88452790999995,93.15515808000009,5987.155158080001,100.30035808000002,True,7.145199999999932,32.72438798999997,ltr,HJKOLI+MS-PGothic,7.145199999999932
(千玄米ﾄﾝ),203.94829943999997,236.67268743,93.15515808000009,5987.155158080001,100.30035808000002,True,7.145199999999932,32.724387990000025,ltr,HJKOLI+MS-PGothic,7.145199999999932
(千玄米ﾄﾝ),319.51676217,352.24115015999996,93.15515808000009,5987.155158080001,100.30035808000002,True,7.145199999999932,32.72438798999997,ltr,HJKOLI+MS-PGothic,7.145199999999932
北海道,42.9,68.26062676,104.21760199999994,5998.217602,112.66190199999994,True,8.444299999999998,25.360626759999995,ltr,HJKOLI+MS-PGothic,8.444299999999998
299.0,152.64,175.08885599999996,103.58028999999999,5997.58029,113.32379000000003,True,9.74350000000004,22.448855999999978,ltr,HJKOLI+MS-PGothic,9.74350000000004
294.8,210.41877792,232.86763391999995,103.58028999999999,5997.58029,113.32379000000003,True,9.74350000000004,22.44885599999995,ltr,HJKOLI+MS-PGothic,9.74350000000004
99%,278.63797824,293.8876176,103.58028999999999,5997.58029,113.32379000000003,True,9.74350000000004,15.249639360000003,ltr,HJKOLI+MS-PGothic,9.74350000000004
