text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
集荷・契約・販売数量（新潟から広島まで）,103.92,264.64752806,54.48270400000001,5106.482704,62.85130400000003,True,8.368600000000015,160.72752806,ltr,CKJPHI+MS-PGothic,8.368600000000015
①,200.82,208.0844,100.80208600000003,5152.802086,107.49698599999999,True,6.694899999999961,7.264399999999995,ltr,CKJPHI+MS-PGothic,6.694899999999961
②,246.17964003999998,253.44404003999998,100.80208600000003,5152.802086,107.49698599999999,True,6.694899999999961,7.264399999999995,ltr,CKJPHI+MS-PGothic,6.694899999999961
②/①,279.47964964,297.66389572,100.80208600000003,5152.802086,107.49698599999999,True,6.694899999999961,18.184246080000037,ltr,CKJPHI+MS-PGothic,6.694899999999961
③,323.69950531999996,330.96390532,100.80208600000003,5152.802086,107.49698599999999,True,6.694899999999961,7.264400000000023,ltr,CKJPHI+MS-PGothic,6.694899999999961
③/①,356.99951492,375.12419292,100.80208600000003,5152.802086,107.49698599999999,True,6.694899999999961,18.12467799999996,ltr,CKJPHI+MS-PGothic,6.694899999999961
新,103.92,111.7898,111.36237800000004,5163.362378,118.61507800000004,True,7.252700000000004,7.869799999999998,ltr,CKJPHI+MS-PGothic,7.252700000000004
潟,117.23884952,125.10864952,111.36237800000004,5163.362378,118.61507800000004,True,7.252700000000004,7.869799999999998,ltr,CKJPHI+MS-PGothic,7.252700000000004
103,163.26,177.8238696,110.282824,5162.282824,119.20942400000001,True,8.926600000000008,14.563869600000004,ltr,CKJPHI+MS-PGothic,8.926600000000008
256.4,201.4209028,222.5838442,110.282824,5162.282824,119.20942400000001,True,8.926600000000008,21.162941399999994,ltr,CKJPHI+MS-PGothic,8.926600000000008
180.3,246.840494,268.0034354,110.282824,5162.282824,119.20942400000001,True,8.926600000000008,21.162941399999994,ltr,CKJPHI+MS-PGothic,8.926600000000008
-,298.2605622,303.1035622,110.282824,5162.282824,119.20942400000001,True,8.926600000000008,4.843000000000018,ltr,CKJPHI+MS-PGothic,8.926600000000008
28.9,329.1608394,345.46334599999994,110.282824,5162.282824,119.20942400000001,True,8.926600000000008,16.30250659999996,ltr,CKJPHI+MS-PGothic,8.926600000000008
11%,366.06062499999996,380.62449459999993,110.282824,5162.282824,119.20942400000001,True,8.926600000000008,14.563869599999975,ltr,CKJPHI+MS-PGothic,8.926600000000008
121.9,201.42284,222.5857814,121.44107399999996,5173.441074,130.36767399999997,True,8.926600000000008,21.162941399999994,ltr,CKJPHI+MS-PGothic,8.926600000000008
90.8,251.6428128,268.00537260000004,121.44107399999996,5173.441074,130.36767399999997,True,8.926600000000008,16.362559800000042,ltr,CKJPHI+MS-PGothic,8.926600000000008
-,298.2624994,303.10549940000004,121.44107399999996,5173.441074,130.36767399999997,True,8.926600000000008,4.843000000000018,ltr,CKJPHI+MS-PGothic,8.926600000000008
12.1,329.16277660000003,345.4652832,121.44107399999996,5173.441074,130.36767399999997,True,8.926600000000008,16.30250659999996,ltr,CKJPHI+MS-PGothic,8.926600000000008
10%,366.0625622,380.62643180000003,121.44107399999996,5173.441074,130.36767399999997,True,8.926600000000008,14.563869600000032,ltr,CKJPHI+MS-PGothic,8.926600000000008
32.0,206.22709600000002,222.5896558,133.14384659999996,5185.1438466,142.07044659999997,True,8.926600000000008,16.362559799999985,ltr,CKJPHI+MS-PGothic,8.926600000000008
14.0,251.64668720000003,268.0092470000001,133.14384659999996,5185.1438466,142.07044659999997,True,8.926600000000008,16.362559800000042,ltr,CKJPHI+MS-PGothic,8.926600000000008
-,298.26637380000005,303.10937380000007,133.14384659999996,5185.1438466,142.07044659999997,True,8.926600000000008,4.843000000000018,ltr,CKJPHI+MS-PGothic,8.926600000000008
4.5,333.966064,345.468189,133.14384659999996,5185.1438466,142.07044659999997,True,8.926600000000008,11.502124999999978,ltr,CKJPHI+MS-PGothic,8.926600000000008
14%,366.065468,380.62933760000004,133.14384659999996,5185.1438466,142.07044659999997,True,8.926600000000008,14.563869600000032,ltr,CKJPHI+MS-PGothic,8.926600000000008
