PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2020/May2020.pdf
Title page: 30 | Table start page: 32
Parsing page: 32 (crop_right_ratio=0.65)
Numeric centers (xc): (206.82419399, 245.16303463, 313.02210633)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数⽐率 |  |  | 指数⽐率 | 
①②②/①③ |  |  | ①②②/①③ | 
山口 | 山口 |  | general | (32.4, 27.4, 13.6)
コシヒカリ |  |  | コシヒカリ | (9.6, 8.6, 4.5)
ひとめぼれ |  |  | ひとめぼれ | (7.7, 6.8, 3.9)
ヒノヒカリ |  |  | ヒノヒカリ | (6.7, 5.4, 2.3)
徳島 | 徳島 |  | general | (5.6, 4.3, 3.9)
コシヒカリ |  |  | コシヒカリ | (2.6, 2.3, 2.3)
キヌヒカリ |  |  | キヌヒカリ | (0.8, 0.5, 0.4)
香川 | 香川 |  | general | (19.1, 19.1, 7.7)
コシヒカリ |  |  | コシヒカリ | (6.5, 6.5, 3.5)
ヒノヒカリ |  |  | ヒノヒカリ | (5.8, 5.8, 1.8)
おいでまい |  |  | おいでまい | (3.8, 3.8, 1.6)
愛媛 | 愛媛 |  | general | (8.1, 6.7, 5.3)
コシヒカリ |  |  | コシヒカリ | (3.3, 3.1, 2.3)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 0.8, 0.7)
あきたこまち |  |  | あきたこまち | (0.9, 0.8, 0.6)
高知 | 高知 |  | general | (9.6, 8.9, 8.9)
コシヒカリ |  |  | コシヒカリ | (6.3, 6.3, 6.3)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 0.9, 0.9)
福岡 | 福岡 |  | general | (42.6, 36.2, 21.1)
夢つくし |  |  | 夢つくし | (13.8, 12.0, 8.5)
ヒノヒカリ |  |  | ヒノヒカリ | (11.2, 10.3, 4.2)
元気つくし |  |  | 元気つくし | (14.4, 11.7, 7.5)
佐賀 | 佐賀 |  | general | (28.2, 28.0, 10.8)
夢しずく |  |  | 夢しずく | (10.6, 10.5, 4.6)
さがびより |  |  | さがびより | (7.6, 7.5, 1.6)
ヒノヒカリ |  |  | ヒノヒカリ | (6.2, 6.1, 2.0)
長崎 | 長崎 |  | general | (9.1, 8.6, 4.4)
にこまる |  |  | にこまる | (3.8, 3.6, 1.5)
ヒノヒカリ |  |  | ヒノヒカリ | (2.4, 2.2, 1.2)
コシヒカリ |  |  | コシヒカリ | (1.2, 1.2, 0.7)
熊本 | 熊本 |  | general | (31.7, 14.6, 14.6)
ヒノヒカリ |  |  | ヒノヒカリ | (12.5, 4.9, 4.9)
森のくまさん |  |  | 森のくまさん | (6.2, 2.3, 2.3)
コシヒカリ |  |  | コシヒカリ | (5.8, 4.4, 4.4)
大分 | 大分 |  | general | (9.0, 9.7, 4.6)
ヒノヒカリ |  |  | ヒノヒカリ | (5.8, 6.3, 2.6)
ひとめぼれ |  |  | ひとめぼれ | (0.7, 0.8, 0.5)
つや姫 |  |  | つや姫 | (1.7, 1.7, 1.0)
宮崎 | 宮崎 |  | general | (12.0, 12.0, 9.6)
コシヒカリ |  |  | コシヒカリ | (6.6, 6.6, 6.6)
ヒノヒカリ |  |  | ヒノヒカリ | (4.7, 4.7, 2.5)
鹿児島 | 鹿児島 |  | general | (10.1, 10.1, 9.5)
ヒノヒカリ |  |  | ヒノヒカリ | (3.1, 3.1, 2.7)
あきほなみ |  |  | あきほなみ | (1.4, 1.4, 1.2)
コシヒカリ |  |  | コシヒカリ | (3.5, 3.5, 3.5)
沖縄 | 沖縄 |  | general | (1.4, 1.4, 1.4)
全 |  |  | 全 | 
参前年同月(30年産) |  |  | 参前年同月(30年産) | 
考前年同月差 |  |  | 考前年同月差 | 
２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 |  |  | ２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 | 
９「参考：前年同月比」で、令和元年産又は平成30年産の同時期に数量がなかった場合は、「… |  |  | ９「参考：前年同月比」で、令和元年産又は平成30年産の同時期に数量がなかった場合は、「… | 
契約 |  |  | 契約 | 
