text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
集荷・契約・販売数量（北海道から静岡まで）,89.76,301.40871542999986,50.83681200000001,29520.836812,59.607611999999904,True,8.770799999999895,211.64871542999987,ltr,HHLBBC+MS-PGothic,8.770799999999895
①,211.26,220.3151,99.32533799999999,29569.325338,106.342038,True,7.016700000000014,9.05510000000001,ltr,HHLBBC+MS-PGothic,7.016700000000014
②,267.83988683999996,276.89498683999994,99.32533799999999,29569.325338,106.342038,True,7.016700000000014,9.055099999999982,ltr,HHLBBC+MS-PGothic,7.016700000000014
③,324.41977368,333.47487368,99.32533799999999,29569.325338,106.342038,True,7.016700000000014,9.055099999999982,ltr,HHLBBC+MS-PGothic,7.016700000000014
北海道,89.76,119.19038098,110.52258200000006,29580.522582,118.12388199999998,True,7.601299999999924,29.430380979999995,ltr,HHLBBC+MS-PGothic,7.601299999999924
106,164.46,182.58005888,109.31388400000003,29579.313884,118.66948400000001,True,9.355599999999981,18.120058879999988,ltr,HHLBBC+MS-PGothic,9.355599999999981
67.9,218.06316192,238.42045887999998,109.31388400000003,29579.313884,118.66948400000001,True,9.355599999999981,20.357296959999985,ltr,HHLBBC+MS-PGothic,9.355599999999981
169.2,268.56340864000003,295.0033852800001,109.31388400000003,29579.313884,118.66948400000001,True,9.355599999999981,26.439976640000054,ltr,HHLBBC+MS-PGothic,9.355599999999981
6.0,337.26702208000006,351.5633718400001,109.31388400000003,29579.313884,118.66948400000001,True,9.355599999999981,14.296349760000055,ltr,HHLBBC+MS-PGothic,9.355599999999981
29.8,218.04022208,238.43977664000002,121.01399736000008,29591.01399736,130.36959736000006,True,9.355599999999981,20.399554560000013,ltr,HHLBBC+MS-PGothic,9.355599999999981
96.1,274.6436736,295.04322816000007,121.01399736000008,29591.01399736,130.36959736000006,True,9.355599999999981,20.39955456000007,ltr,HHLBBC+MS-PGothic,9.355599999999981
2.6,337.30807232,351.6056294400001,121.01399736000008,29591.01399736,130.36959736000006,True,9.355599999999981,14.297557120000079,ltr,HHLBBC+MS-PGothic,9.355599999999981
32.4,218.04022208,238.43856928,133.3138046800001,29603.31380468,142.66940468000007,True,9.355599999999981,20.39834719999999,ltr,HHLBBC+MS-PGothic,9.355599999999981
42.5,274.64125888,295.03960608000006,133.3138046800001,29603.31380468,142.66940468000007,True,9.355599999999981,20.398347200000046,ltr,HHLBBC+MS-PGothic,9.355599999999981
1.6,337.30324288,351.59959264,133.3138046800001,29603.31380468,142.66940468000007,True,9.355599999999981,14.296349759999998,ltr,HHLBBC+MS-PGothic,9.355599999999981
1,382.58286496000005,386.89300000000003,133.3138046800001,29603.31380468,142.66940468000007,True,9.355599999999981,4.310135039999977,ltr,HHLBBC+MS-PGothic,9.355599999999981
0.6,224.04080128,238.39872640000002,145.01391804000014,29615.01391804,154.36951804000012,True,9.355599999999981,14.357925120000004,ltr,HHLBBC+MS-PGothic,9.355599999999981
14.7,274.60262336,295.02149568000004,145.01391804000014,29615.01391804,154.36951804000012,True,9.355599999999981,20.418872320000048,ltr,HHLBBC+MS-PGothic,9.355599999999981
-,349.34545152000004,355.38225152000007,145.01391804000014,29615.01391804,154.36951804000012,True,9.355599999999981,6.036800000000028,ltr,HHLBBC+MS-PGothic,9.355599999999981
青,89.76,99.5698,157.8625820000001,29627.862582,165.463882,True,7.601299999999924,9.809799999999996,ltr,HHLBBC+MS-PGothic,7.601299999999924
森,106.31992338,116.12972338,157.8625820000001,29627.862582,165.463882,True,7.601299999999924,9.809799999999996,ltr,HHLBBC+MS-PGothic,7.601299999999924
99,167.46,179.53480736,156.65388400000006,29626.653884,166.00948400000004,True,9.355599999999981,12.074807359999994,ltr,HHLBBC+MS-PGothic,9.355599999999981
16.1,218.0182,238.40930304,156.65388400000006,29626.653884,166.00948400000004,True,9.355599999999981,20.39110303999999,ltr,HHLBBC+MS-PGothic,9.355599999999981
63.0,274.61199264000004,295.00309568000006,156.65388400000006,29626.653884,166.00948400000004,True,9.355599999999981,20.39110304000002,ltr,HHLBBC+MS-PGothic,9.355599999999981
0.7,337.26673248,351.55946016,156.65388400000006,29626.653884,166.00948400000004,True,9.355599999999981,14.292727680000041,ltr,HHLBBC+MS-PGothic,9.355599999999981
5.1,224.03930432,238.3924,168.3539973600001,29638.35399736,177.7095973600001,True,9.355599999999981,14.353095679999996,ltr,HHLBBC+MS-PGothic,9.355599999999981
46.9,274.59508960000005,295.00792512000004,168.3539973600001,29638.35399736,177.7095973600001,True,9.355599999999981,20.412835519999987,ltr,HHLBBC+MS-PGothic,9.355599999999981
0.1,337.27156192,351.58602208,168.3539973600001,29638.35399736,177.7095973600001,True,9.355599999999981,14.31446016000001,ltr,HHLBBC+MS-PGothic,9.355599999999981
