text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
資料：,68.52,94.44,709.0293,27653.0293,717.6693,True,8.639999999999986,25.92,ltr,GDDBFF+MS-Gothic,8.639999999999986
農林水産省「米穀の取引に関する報告」,103.08,258.421152,709.0293,27653.0293,717.6693,True,8.639999999999986,155.34115200000002,ltr,GDDBFF+MS-Gothic,8.639999999999986
注：１,68.52,94.44,717.609684,27661.609684,726.249684,True,8.639999999999986,25.92,ltr,GDDBFF+MS-Gothic,8.64
報告対象業者は、全農、道県経済連、県単一農協、道県出荷団体（年間の,103.08,386.89300000000003,717.609684,27661.609684,726.249684,True,8.639999999999986,283.81300000000005,ltr,GDDBFF+MS-Gothic,8.64
"出荷業者（年間の直接販売数量が5,000トン以上）である。",94.44,323.16153599999996,726.249684,27670.249684,734.889684,True,8.639999999999986,228.72153599999996,ltr,GDDBFF+MS-Gothic,8.64
２,85.8,94.44,734.889684,27678.889684,743.529684,True,8.639999999999986,8.64,ltr,GDDBFF+MS-Gothic,8.64
報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む,103.08,386.89300000000003,734.889684,27678.889684,743.529684,True,8.639999999999986,283.81300000000005,ltr,GDDBFF+MS-Gothic,8.64
３,85.8,94.44,743.529684,27687.529684,752.169684,True,8.639999999999986,8.64,ltr,GDDBFF+MS-Gothic,8.64
集荷数量は、報告対象業者が自ら販売するために集荷した数量である。,103.08,379.2619199999999,743.529684,27687.529684,752.169684,True,8.639999999999986,276.18191999999993,ltr,GDDBFF+MS-Gothic,8.64
４,85.8,94.44,752.169684,27696.169684,760.809684,True,8.639999999999986,8.64,ltr,GDDBFF+MS-Gothic,8.64
契約数量は、報告対象業者が自ら販売するために契約を締結（確認書等に,103.08,386.89300000000003,752.169684,27696.169684,760.809684,True,8.639999999999986,283.81300000000005,ltr,GDDBFF+MS-Gothic,8.64
した数量である。,94.44,163.500384,760.809684,27704.809684,769.4496839999999,True,8.639999999999986,69.060384,ltr,GDDBFF+MS-Gothic,8.64
５,85.8,94.44,769.4496839999999,27713.449684,778.089684,True,8.6400000000001,8.64,ltr,GDDBFF+MS-Gothic,8.640000000000008
販売数量は、集荷数量のうち契約のあと実際に卸売業者等に引き取られた,103.08,386.89300000000003,769.4496839999999,27713.449684,778.089684,True,8.6400000000001,283.81300000000005,ltr,GDDBFF+MS-Gothic,8.640000000000008
６,85.8,94.44,778.089684,27722.089684,786.729684,True,8.639999999999986,8.64,ltr,GDDBFF+MS-Gothic,8.64
銘柄ごとの集荷数量、契約数量、販売数量は、当該産地の内数として掲載,103.08,386.89300000000003,778.089684,27722.089684,786.729684,True,8.639999999999986,283.81300000000005,ltr,GDDBFF+MS-Gothic,8.64
７,85.8,94.44,786.729684,27730.729684,795.369684,True,8.639999999999986,8.64,ltr,GDDBFF+MS-Gothic,8.64
全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合,103.08,386.89300000000003,786.729684,27730.729684,795.369684,True,8.639999999999986,283.81300000000005,ltr,GDDBFF+MS-Gothic,8.64
８,85.8,94.44,795.310068,27739.310068,803.950068,True,8.639999999999986,8.64,ltr,GDDBFF+MS-Gothic,8.64
「－」は、集荷数量、契約数量、販売数量に該当がないものである。,103.08,370.681536,795.310068,27739.310068,803.950068,True,8.639999999999986,267.601536,ltr,GDDBFF+MS-Gothic,8.64
９,85.8,94.44,803.58978,27747.58978,812.22978,True,8.639999999999986,8.64,ltr,GDDBFF+MS-Gothic,8.64
「参考：前年同月比」で、令和４年産又は令和３年産の同時期に数量がな,105.24,386.89300000000003,803.58978,27747.58978,812.22978,True,8.639999999999986,281.653,ltr,GDDBFF+MS-Gothic,8.64
契約,277.98,301.74,821.8629,27765.8629,833.7429,True,11.879999999999995,23.75999999999999,ltr,GDDBEF+MS-PGothic,11.88
‐,301.74,305.37528000000003,823.1697,27767.1697,835.0497,True,11.879999999999995,3.635280000000023,ltr,GDDCDD+Calibri,11.880000000000003
5,305.400228,311.42338800000005,823.1697,27767.1697,835.0497,True,11.879999999999995,6.0231600000000185,ltr,GDDCEE+Calibri,11.880000000000003
集荷・契約・販売数量（山口から沖縄まで、全国計）,91.2,332.6606798500002,20.189862000000062,26964.189862,29.64316199999996,True,9.4532999999999,241.4606798500002,ltr,GDDBEF+MS-PGothic,9.4532999999999
①,211.74,220.78060000000002,72.51586399999997,27016.515864,80.07846399999994,True,7.562599999999975,9.040600000000012,ltr,GDDBEF+MS-PGothic,7.562599999999975
②,268.26002308,277.30062308,72.51586399999997,27016.515864,80.07846399999994,True,7.562599999999975,9.040599999999984,ltr,GDDBEF+MS-PGothic,7.562599999999975
③,324.7203782,333.7609782,72.51586399999997,27016.515864,80.07846399999994,True,7.562599999999975,9.040599999999984,ltr,GDDBEF+MS-PGothic,7.562599999999975
山,91.2,100.994,84.453892,27028.453892,92.64669199999992,True,8.19279999999992,9.793999999999997,ltr,GDDBEF+MS-PGothic,8.19279999999992
口,107.75969520000001,117.5536952,84.453892,27028.453892,92.64669199999992,True,8.19279999999992,9.793999999999997,ltr,GDDBEF+MS-PGothic,8.19279999999992
105,165.0,183.06186344,83.18788999999992,27027.18789,93.27139,True,10.083500000000072,18.061863439999996,ltr,GDDBEF+MS-PGothic,10.083500000000072
31.5,218.49489039,238.75783249,83.18788999999992,27027.18789,93.27139,True,10.083500000000072,20.262942100000004,ltr,GDDBEF+MS-PGothic,10.083500000000072
19.0,274.97075971,295.31084804999995,83.18788999999992,27027.18789,93.27139,True,10.083500000000072,20.340088339999966,ltr,GDDBEF+MS-PGothic,10.083500000000072
2.3,337.52430625,351.83011213,83.18788999999992,27027.18789,93.27139,True,10.083500000000072,14.30580587999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
7.8,224.51952957,238.7831461,95.84772424999994,27039.84772425,105.93122425000001,True,10.083500000000072,14.263616530000007,ltr,GDDBEF+MS-PGothic,10.083500000000072
6.3,280.9966043,295.30241018,95.84772424999994,27039.84772425,105.93122425000001,True,10.083500000000072,14.30580587999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
1.2,337.51586838000003,351.83975541,95.84772424999994,27039.84772425,105.93122425000001,True,10.083500000000072,14.32388702999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
1,382.71271633000003,386.89300000000003,95.84772424999994,27039.84772425,105.93122425000001,True,10.083500000000072,4.180283669999994,ltr,GDDBEF+MS-PGothic,10.083500000000072
8.2,224.51952957,238.78073528000002,109.0480341,27053.0480341,119.13153410000007,True,10.083500000000072,14.261205710000013,ltr,GDDBEF+MS-PGothic,10.083500000000072
3.7,280.99419348000004,295.29999936,109.0480341,27053.0480341,119.13153410000007,True,10.083500000000072,14.30580587999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
0.4,337.51345756,351.83493377,109.0480341,27053.0480341,119.13153410000007,True,10.083500000000072,14.321476210000014,ltr,GDDBEF+MS-PGothic,10.083500000000072
1,382.70789469000005,386.89300000000003,109.0480341,27053.0480341,119.13153410000007,True,10.083500000000072,4.185105309999983,ltr,GDDBEF+MS-PGothic,10.083500000000072
5.1,224.51952957,238.7831461,121.64837569999997,27065.6483757,131.73187570000005,True,10.083500000000072,14.263616530000007,ltr,GDDBEF+MS-PGothic,10.083500000000072
2.8,280.9966043,295.30241018,121.64837569999997,27065.6483757,131.73187570000005,True,10.083500000000072,14.30580587999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
0.2,337.51586838000003,351.83975541,121.64837569999997,27065.6483757,131.73187570000005,True,10.083500000000072,14.32388702999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
徳,91.2,100.994,135.51389200000006,27079.513892,143.70669199999998,True,8.19279999999992,9.793999999999997,ltr,GDDBEF+MS-PGothic,8.19279999999992
島,107.75969520000001,117.5536952,135.51389200000006,27079.513892,143.70669199999998,True,8.19279999999992,9.793999999999997,ltr,GDDBEF+MS-PGothic,8.19279999999992
102,165.0,183.04739852,134.24788999999998,27078.24789,144.33139000000006,True,10.083500000000072,18.04739852,ltr,GDDBEF+MS-PGothic,10.083500000000072
5.7,224.47854562999999,238.78073528,134.24788999999998,27078.24789,144.33139000000006,True,10.083500000000072,14.302189650000003,ltr,GDDBEF+MS-PGothic,10.083500000000072
3.5,280.99298806999997,295.3072318199999,134.24788999999998,27078.24789,144.33139000000006,True,10.083500000000072,14.314243749999946,ltr,GDDBEF+MS-PGothic,10.083500000000072
1.5,337.51948460999995,351.82287966999996,134.24788999999998,27078.24789,144.33139000000006,True,10.083500000000072,14.303395060000014,ltr,GDDBEF+MS-PGothic,10.083500000000072
2.3,224.51952957,238.78073528000002,146.84823159999996,27090.8482316,156.93173160000003,True,10.083500000000072,14.261205710000013,ltr,GDDBEF+MS-PGothic,10.083500000000072
1.5,280.99419348000004,295.29999936,146.84823159999996,27090.8482316,156.93173160000003,True,10.083500000000072,14.30580587999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
0.9,337.51345756,351.83493377,146.84823159999996,27090.8482316,156.93173160000003,True,10.083500000000072,14.321476210000014,ltr,GDDBEF+MS-PGothic,10.083500000000072
1,382.70789469000005,386.89300000000003,146.84823159999996,27090.8482316,156.93173160000003,True,10.083500000000072,4.185105309999983,ltr,GDDBEF+MS-PGothic,10.083500000000072
2.8,224.51952957,238.7831461,159.44857319999994,27103.4485732,169.5320732,True,10.083500000000072,14.263616530000007,ltr,GDDBEF+MS-PGothic,10.083500000000072
1.6,280.9966043,295.30241018,159.44857319999994,27103.4485732,169.5320732,True,10.083500000000072,14.30580587999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
0.3,337.51586838000003,351.83975541,159.44857319999994,27103.4485732,169.5320732,True,10.083500000000072,14.32388702999998,ltr,GDDBEF+MS-PGothic,10.083500000000072
香,91.2,100.994,173.313892,27117.313892,181.50669199999993,True,8.19279999999992,9.793999999999997,ltr,GDDBEF+MS-PGothic,8.19279999999992
川,107.75969520000001,117.5536952,173.313892,27117.313892,181.50669199999993,True,8.19279999999992,9.793999999999997,ltr,GDDBEF+MS-PGothic,8.19279999999992
103,165.0,183.0690959,172.04788999999994,27116.04789,182.13139,True,10.083500000000072,18.069095900000008,ltr,GDDBEF+MS-PGothic,10.083500000000072
