PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2023/Sep2023.pdf
Title page: 36 | Table start page: 36
Parsing page: 38 (crop_right_ratio=0.65)
Numeric centers (xc): (206.8426208, 250.01227505, 336.3824404)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
山口 | 山口 |  | general | (41.9, 39.7, 30.1)
コシヒカリ |  |  | コシヒカリ | (11.3, 10.9, 8.6)
ひとめぼれ |  |  | ひとめぼれ | (9.9, 9.0, 6.9)
ヒノヒカリ |  |  | ヒノヒカリ | (6.0, 5.8, 4.2)
徳島 | 徳島 |  | general | (5.7, 5.7, 5.2)
コシヒカリ |  |  | コシヒカリ | (2.3, 2.3, 2.0)
あきさかり |  |  | あきさかり | (2.8, 2.8, 2.6)
香川 | 香川 |  | general | (21.0, 23.4, 15.6)
コシヒカリ |  |  | コシヒカリ | (6.1, 6.5, 4.8)
ヒノヒカリ |  |  | ヒノヒカリ | (5.8, 6.6, 4.3)
おいでまい |  |  | おいでまい | (3.9, 4.5, 2.9)
愛媛 | 愛媛 |  | general | (12.5, 12.5, 8.0)
コシヒカリ |  |  | コシヒカリ | (4.3, 4.2, 3.6)
ヒノヒカリ |  |  | ヒノヒカリ | (2.2, 2.2, 1.1)
あきたこまち |  |  | あきたこまち | (1.4, 1.4, 0.8)
高知 | 高知 |  | general | (9.6, 9.4, 9.4)
コシヒカリ |  |  | コシヒカリ | (6.5, 6.5, 6.5)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 1.3, 1.3)
福岡 | 福岡 |  | general | (51.8, 51.1, 36.8)
夢つくし |  |  | 夢つくし | (17.7, 17.6, 12.9)
ヒノヒカリ |  |  | ヒノヒカリ | (12.6, 12.5, 8.6)
元気つくし |  |  | 元気つくし | (16.6, 16.2, 12.4)
佐賀 | 佐賀 |  | general | (33.1, 32.7, 20.5)
さがびより |  |  | さがびより | (12.9, 12.9, 6.6)
夢しずく |  |  | 夢しずく | (11.4, 11.4, 7.6)
ヒノヒカリ |  |  | ヒノヒカリ | (5.6, 5.6, 3.5)
長崎 | 長崎 |  | general | (8.8, 9.1, 6.4)
にこまる |  |  | にこまる | (3.4, 3.5, 2.5)
ヒノヒカリ |  |  | ヒノヒカリ | (1.4, 1.3, 0.9)
なつほのか |  |  | なつほのか | (2.2, 2.5, 1.5)
熊本 | 熊本 |  | general | (30.3, 23.7, 23.7)
ヒノヒカリ |  |  | ヒノヒカリ | (11.9, 9.0, 9.0)
森のくまさん |  |  | 森のくまさん | (4.4, 3.7, 3.7)
コシヒカリ |  |  | コシヒカリ | (5.7, 4.6, 4.6)
大分 | 大分 |  | general | (15.1, 16.1, 10.9)
ヒノヒカリ |  |  | ヒノヒカリ | (6.9, 7.1, 4.9)
ひとめぼれ |  |  | ひとめぼれ | (2.2, 2.2, 1.8)
つや姫 |  |  | つや姫 | (2.2, 2.2, 1.8)
宮崎 | 宮崎 |  | general | (12.6, 11.5, 11.3)
コシヒカリ |  |  | コシヒカリ | (5.6, 5.6, 5.6)
ヒノヒカリ |  |  | ヒノヒカリ | (5.3, 4.1, 4.1)
鹿児島 | 鹿児島 |  | general | (14.6, 14.6, 12.5)
ヒノヒカリ |  |  | ヒノヒカリ | (5.8, 5.8, 4.8)
あきほなみ |  |  | あきほなみ | (3.2, 3.2, 2.2)
コシヒカリ |  |  | コシヒカリ | (2.8, 2.8, 2.8)
沖縄 | 沖縄 |  | general | (1.2, 1.2, 1.2)
全国 |  | YES | general | (2716.0, 2637.0, 1949.0)
参前年同月(３年産) |  |  | 参前年同月(３年産) | 
考前年同月差 |  |  | 考前年同月差 | 
２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む |  |  | ２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む | 
した数量である。 |  |  | した数量である。 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合 | 
９「参考：前年同月比」で、令和４年産又は令和３年産の同時期に数量がな |  |  | ９「参考：前年同月比」で、令和４年産又は令和３年産の同時期に数量がな | 
契約 |  |  | 契約 | 
