PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2024/Feb2024.pdf
Title page: 37 | Table start page: 37
Parsing page: 39 (crop_right_ratio=0.65)
Numeric centers (xc): (217.26882634999998, 272.16770135, 327.06710675)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数 |  |  | 指数 | 
山口 | 山口 |  | general | (33.4, 32.1, 7.9)
コシヒカリ |  |  | コシヒカリ | (8.8, 9.1, 2.8)
ひとめぼれ |  |  | ひとめぼれ | (8.5, 7.5, 2.2)
きぬむすめ |  |  | きぬむすめ | (6.8, 7.0, 1.0)
徳島 | 徳島 |  | general | (4.8, 5.2, 2.3)
コシヒカリ |  |  | コシヒカリ | (2.0, 2.0, 1.1)
あきさかり |  |  | あきさかり | (2.3, 2.6, 0.8)
香川 | 香川 |  | general | (18.5, 28.0, 3.8)
コシヒカリ |  |  | コシヒカリ | (5.3, 10.0, 1.6)
ヒノヒカリ |  |  | ヒノヒカリ | (5.5, 9.0, 0.9)
あきさかり |  |  | あきさかり | (3.7, 9.0, 0.8)
愛媛 | 愛媛 |  | general | (11.0, 8.3, 2.7)
コシヒカリ |  |  | コシヒカリ | (3.8, 3.5, 1.1)
ヒノヒカリ |  |  | ヒノヒカリ | (1.7, 1.1, 0.3)
あきたこまち |  |  | あきたこまち | (0.9, 0.9, 0.3)
高知 | 高知 |  | general | (9.1, 7.9, 7.9)
コシヒカリ |  |  | コシヒカリ | (6.2, 6.2, 6.2)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 0.7, 0.7)
福岡 | 福岡 |  | general | (46.2, 37.1, 10.8)
夢つくし |  |  | 夢つくし | (15.6, 12.1, 4.4)
ヒノヒカリ |  |  | ヒノヒカリ | (11.6, 10.8, 1.7)
元気つくし |  |  | 元気つくし | (14.1, 10.4, 3.4)
佐賀 | 佐賀 |  | general | (29.3, 11.0, 6.0)
さがびより |  |  | さがびより | (11.2, 2.9, 1.4)
夢しずく |  |  | 夢しずく | (10.0, 4.7, 2.4)
ヒノヒカリ |  |  | ヒノヒカリ | (4.8, 1.5, 0.8)
長崎 | 長崎 |  | general | (8.6, 7.7, 2.4)
にこまる |  |  | にこまる | (3.4, 3.2, 0.6)
なつほのか |  |  | なつほのか | (2.1, 2.0, 0.6)
ヒノヒカリ |  |  | ヒノヒカリ | (1.5, 1.1, 0.2)
熊本 | 熊本 |  | general | (28.1, 6.6, 6.6)
ヒノヒカリ |  |  | ヒノヒカリ | (10.9, 1.9, 1.9)
森のくまさん |  |  | 森のくまさん | (3.9, 0.5, 0.5)
コシヒカリ |  |  | コシヒカリ | (5.0, 2.6, 2.6)
大分 | 大分 |  | general | (13.5, 10.3, 2.8)
ヒノヒカリ |  |  | ヒノヒカリ | (5.9, 4.0, 0.9)
ひとめぼれ |  |  | ひとめぼれ | (1.9, 2.0, 0.5)
つや姫 |  |  | つや姫 | (1.9, 1.7, 0.6)
宮崎 | 宮崎 |  | general | (9.4, 6.9, 6.9)
コシヒカリ |  |  | コシヒカリ | (4.6, 4.6, 4.6)
ヒノヒカリ |  |  | ヒノヒカリ | (3.8, 1.4, 1.4)
鹿児島 | 鹿児島 |  | general | (7.8, 7.8, 6.7)
ヒノヒカリ |  |  | ヒノヒカリ | (1.9, 1.9, 1.1)
あきほなみ |  |  | あきほなみ | (0.7, 0.7, 0.6)
コシヒカリ |  |  | コシヒカリ | (3.0, 3.0, 3.0)
沖縄 | 沖縄 |  | general | (1.2, 1.2, 1.0)
全国 |  | YES | general | (2380.0, 1943.0, 573.0)
参前年同月(４年産) |  |  | 参前年同月(４年産) | 
考前年同月差 |  |  | 考前年同月差 | 
２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む |  |  | ２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む | 
した数量である。 |  |  | した数量である。 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合 | 
９「参考：前年同月比」で、令和５年産又は令和４年産の同時期に数量がな |  |  | ９「参考：前年同月比」で、令和５年産又は令和４年産の同時期に数量がな | 
契約 |  |  | 契約 | 
