PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2024/Jun2024.pdf
Title page: 42 | Table start page: 42
Parsing page: 43 (crop_right_ratio=0.65)
Numeric centers (xc): (200.33277950000002, 243.50243375000002, 329.8725991)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
新潟 | 新潟 |  | general | (269.0, 262.6, 155.4)
コシヒカリ（一般） |  |  | コシヒカリ（一般） | (134.8, 132.4, 70.1)
コシヒカリ（魚沼） |  |  | コシヒカリ（魚沼） | (31.4, 29.4, 20.4)
コシヒカリ（佐渡） |  |  | コシヒカリ（佐渡） | (12.4, 12.7, 7.0)
コシヒカリ（岩船） |  |  | コシヒカリ（岩船） | (11.1, 11.4, 7.0)
こしいぶき |  |  | こしいぶき | (35.8, 34.1, 22.2)
富山 | 富山 |  | general | (78.0, 73.3, 41.8)
コシヒカリ |  |  | コシヒカリ | (54.8, 52.8, 31.1)
てんたかく |  |  | てんたかく | (6.8, 6.4, 3.8)
石川 | 石川 |  | general | (32.0, 31.4, 13.8)
コシヒカリ |  |  | コシヒカリ | (15.1, 14.9, 5.7)
ゆめみづほ |  |  | ゆめみづほ | (4.6, 4.2, 2.0)
福井 | 福井 |  | general | (47.6, 46.7, 30.1)
コシヒカリ |  |  | コシヒカリ | (18.7, 18.7, 10.8)
ハナエチゼン |  |  | ハナエチゼン | (13.0, 13.6, 9.7)
あきさかり |  |  | あきさかり | (4.8, 4.8, 2.3)
岐阜 | 岐阜 |  | general | (20.4, 19.7, 11.0)
ハツシモ |  |  | ハツシモ | (8.9, 8.9, 3.9)
コシヒカリ |  |  | コシヒカリ | (4.9, 4.2, 2.9)
ほしじるし |  |  | ほしじるし | (2.2, 2.7, 1.4)
愛知 | 愛知 |  | general | (33.1, 33.0, 19.1)
あいちのかおり |  |  | あいちのかおり | (17.1, 17.0, 8.5)
コシヒカリ |  |  | コシヒカリ | (9.7, 9.7, 6.9)
大地の風 |  |  | 大地の風 | (1.0, 1.0, 0.6)
三重 | 三重 |  | general | (22.4, 22.8, 14.2)
コシヒカリ（一般） |  |  | コシヒカリ（一般） | (10.1, 10.4, 6.6)
コシヒカリ（伊賀） |  |  | コシヒカリ（伊賀） | (5.9, 5.9, 3.1)
キヌヒカリ |  |  | キヌヒカリ | (1.1, 1.1, 0.8)
滋賀 | 滋賀 |  | general | (55.2, 44.5, 34.5)
コシヒカリ |  |  | コシヒカリ | (19.5, 16.7, 13.2)
キヌヒカリ |  |  | キヌヒカリ | (9.7, 7.5, 6.0)
みずかがみ |  |  | みずかがみ | (11.4, 9.4, 7.4)
京都 | 京都 |  | general | (8.5, 8.0, 5.3)
コシヒカリ |  |  | コシヒカリ | (4.8, 4.6, 2.9)
ヒノヒカリ |  |  | ヒノヒカリ | (1.1, 1.1, 0.7)
キヌヒカリ |  |  | キヌヒカリ | (1.4, 1.2, 0.9)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (24.3, 21.7, 12.5)
コシヒカリ |  |  | コシヒカリ | (11.0, 10.7, 6.5)
ヒノヒカリ |  |  | ヒノヒカリ | (4.5, 3.5, 1.9)
キヌヒカリ |  |  | キヌヒカリ | (3.4, 2.9, 2.0)
奈良 | 奈良 |  | general | (10.0, 5.7, 5.7)
ヒノヒカリ |  |  | ヒノヒカリ | (8.4, 4.6, 4.6)
和歌山 | 和歌山 |  | general | (1.6, 1.6, 0.8)
鳥取 | 鳥取 |  | general | (25.1, 21.0, 16.5)
きぬむすめ |  |  | きぬむすめ | (7.8, 6.3, 5.1)
コシヒカリ |  |  | コシヒカリ | (6.7, 5.6, 4.3)
ひとめぼれ |  |  | ひとめぼれ | (3.6, 3.1, 2.6)
島根 | 島根 |  | general | (31.4, 30.6, 18.8)
きぬむすめ |  |  | きぬむすめ | (13.5, 13.0, 7.7)
コシヒカリ |  |  | コシヒカリ | (11.1, 10.9, 7.2)
つや姫 |  |  | つや姫 | (5.1, 5.1, 2.7)
岡山 | 岡山 |  | general | (37.5, 29.8, 17.1)
アケボノ |  |  | アケボノ | (7.0, 6.3, 2.6)
きぬむすめ |  |  | きぬむすめ | (7.6, 5.0, 2.8)
コシヒカリ |  |  | コシヒカリ | (5.6, 4.2, 3.5)
広島 | 広島 |  | general | (33.2, 32.6, 21.9)
コシヒカリ |  |  | コシヒカリ | (13.1, 12.4, 8.3)
あきさかり |  |  | あきさかり | (6.5, 7.4, 4.6)
あきろまん |  |  | あきろまん | (3.1, 3.2, 2.2)
契約 |  |  | 契約 | 
