PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2024/Oct2024.pdf
Title page: 44 | Table start page: 44
Parsing page: 44 (crop_right_ratio=0.65)
Numeric centers (xc): (202.038857075, 245.118158425, 331.33930820499995)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
２令和５年産米の産地別契約・販売状況 |  |  | ２令和５年産米の産地別契約・販売状況 | 
（累計、うるち米、令 |  |  | （累計、うるち米、令 | 
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
北海道 | 北海道 |  | general | (282.2, 281.7, 250.4)
ななつぼし |  |  | ななつぼし | (134.0, 133.8, 120.9)
ゆめぴりか |  |  | ゆめぴりか | (79.5, 79.5, 70.4)
きらら３９７ |  |  | きらら３９７ | (18.7, 18.6, 13.7)
青森 | 青森 |  | general | (112.4, 111.8, 97.3)
まっしぐら |  |  | まっしぐら | (83.5, 83.2, 69.5)
つがるロマン |  |  | つがるロマン | (8.3, 8.3, 8.1)
岩手 | 岩手 |  | general | (112.2, 110.7, 92.8)
ひとめぼれ |  |  | ひとめぼれ | (84.5, 83.5, 68.1)
あきたこまち |  |  | あきたこまち | (8.3, 8.2, 7.4)
銀河のしずく |  |  | 銀河のしずく | (14.9, 14.4, 13.4)
宮城 | 宮城 |  | general | (157.8, 155.5, 130.5)
ひとめぼれ |  |  | ひとめぼれ | (119.5, 118.0, 95.8)
つや姫 |  |  | つや姫 | (14.9, 14.7, 13.2)
ササニシキ |  |  | ササニシキ | (9.3, 9.2, 8.7)
秋田 | 秋田 |  | general | (222.1, 221.6, 210.6)
あきたこまち |  |  | あきたこまち | (183.1, 182.7, 176.5)
ひとめぼれ |  |  | ひとめぼれ | (17.1, 16.9, 14.6)
めんこいな |  |  | めんこいな | (6.6, 6.6, 6.3)
山形 | 山形 |  | general | (181.3, 177.1, 156.1)
はえぬき |  |  | はえぬき | (95.3, 94.2, 79.2)
つや姫 |  |  | つや姫 | (42.5, 42.0, 40.3)
雪若丸 |  |  | 雪若丸 | (22.1, 19.9, 17.2)
福島 | 福島 |  | general | (125.0, 131.7, 100.9)
コシヒカリ（中通り） |  |  | コシヒカリ（中通り） | (39.3, 40.4, 32.2)
コシヒカリ（会津） |  |  | コシヒカリ（会津） | (29.3, 31.3, 20.6)
コシヒカリ（浜通り） |  |  | コシヒカリ（浜通り） | (5.2, 5.7, 4.4)
ひとめぼれ |  |  | ひとめぼれ | (22.5, 24.3, 18.2)
天のつぶ |  |  | 天のつぶ | (17.6, 18.3, 15.8)
茨城 | 茨城 |  | general | (64.5, 64.5, 62.1)
コシヒカリ |  |  | コシヒカリ | (44.7, 44.8, 42.9)
あきたこまち |  |  | あきたこまち | (7.3, 7.3, 7.2)
ふくまる |  |  | ふくまる | (2.9, 2.9, 2.9)
栃木 | 栃木 |  | general | (106.7, 102.8, 80.1)
コシヒカリ |  |  | コシヒカリ | (85.1, 82.6, 64.5)
とちぎの星 |  |  | とちぎの星 | (12.4, 11.7, 8.1)
あさひの夢 |  |  | あさひの夢 | (3.5, 3.2, 2.4)
群馬 | 群馬 |  | general | (17.3, 16.1, 14.1)
あさひの夢 |  |  | あさひの夢 | (11.7, 10.9, 9.5)
ゆめまつり |  |  | ゆめまつり | (1.5, 1.3, 1.0)
埼玉 | 埼玉 |  | general | (16.2, 15.8, 14.5)
彩のかがやき |  |  | 彩のかがやき | (4.5, 4.5, 4.1)
彩のきずな |  |  | 彩のきずな | (6.2, 5.8, 5.3)
コシヒカリ |  |  | コシヒカリ | (3.2, 3.1, 2.9)
千葉 | 千葉 |  | general | (59.6, 59.5, 59.3)
コシヒカリ |  |  | コシヒカリ | (30.9, 30.9, 30.9)
ふさこがね |  |  | ふさこがね | (11.3, 11.3, 11.0)
ふさおとめ |  |  | ふさおとめ | (10.4, 10.4, 10.4)
東京 | 東京 |  | general | 
神奈川 | 神奈川 |  | general | (3.4, 3.1, 3.1)
山梨 | 山梨 |  | general | (5.5, 4.3, 4.3)
コシヒカリ |  |  | コシヒカリ | (4.8, 3.6, 3.6)
長野 | 長野 |  | general | (63.4, 63.4, 48.3)
コシヒカリ |  |  | コシヒカリ | (50.9, 50.9, 37.3)
あきたこまち |  |  | あきたこまち | (6.1, 6.1, 5.3)
静岡 | 静岡 |  | general | (7.7, 7.7, 7.7)
コシヒカリ |  |  | コシヒカリ | (4.6, 4.6, 4.6)
きぬむすめ |  |  | きぬむすめ | (1.4, 1.4, 1.4)
にこまる |  |  | にこまる | (0.4, 0.4, 0.4)
契約 |  |  | 契約 | 
