PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2025/Jan2025.pdf
Title page: 34 | Table start page: 34
Parsing page: 36 (crop_right_ratio=0.65)
Numeric centers (xc): (198.81817999999998, 247.5289, 296.23962)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数 |  |  | 指数 | 
山口 | 山口 |  | general | (27.0, 13.4, 6.2)
コシヒカリ |  |  | コシヒカリ | (6.3, 3.7, 2.7)
ひとめぼれ |  |  | ひとめぼれ | (7.2, 3.9, 1.9)
きぬむすめ |  |  | きぬむすめ | (5.6, 2.1, 0.5)
徳島 | 徳島 |  | general | (3.5, 2.2, 1.8)
コシヒカリ |  |  | コシヒカリ | (1.4, 1.1, 1.1)
あきさかり |  |  | あきさかり | (1.7, 0.7, 0.5)
香川 | 香川 |  | general | (12.6, 21.0, 3.1)
コシヒカリ |  |  | コシヒカリ | (4.0, 6.0, 1.7)
ヒノヒカリ |  |  | ヒノヒカリ | (4.6, 6.0, 0.4)
あきさかり |  |  | あきさかり | (3.1, 4.0, 0.6)
愛媛 | 愛媛 |  | general | (6.9, 4.5, 2.8)
コシヒカリ |  |  | コシヒカリ | (2.5, 2.0, 1.8)
ヒノヒカリ |  |  | ヒノヒカリ | (0.8, 0.6, 0.3)
あきたこまち |  |  | あきたこまち | (0.2, 0.2, 0.2)
高知 | 高知 |  | general | (7.2, 5.5, 4.8)
コシヒカリ |  |  | コシヒカリ | (5.4, 3.8, 3.8)
ヒノヒカリ |  |  | ヒノヒカリ | (0.7, 0.5, 0.3)
福岡 | 福岡 |  | general | (29.1, 36.7, 9.2)
夢つくし |  |  | 夢つくし | (10.4, 12.0, 4.4)
ヒノヒカリ |  |  | ヒノヒカリ | (6.0, 10.1, 1.7)
元気つくし |  |  | 元気つくし | (9.7, 11.1, 2.4)
佐賀 | 佐賀 |  | general | (22.0, 24.0, 4.9)
さがびより |  |  | さがびより | (7.9, 11.8, 0.9)
夢しずく |  |  | 夢しずく | (8.2, 7.4, 2.2)
ヒノヒカリ |  |  | ヒノヒカリ | (3.2, 2.8, 0.5)
長崎 | 長崎 |  | general | (4.2, 7.1, 0.9)
にこまる |  |  | にこまる | (1.3, 3.2, 0.2)
なつほのか |  |  | なつほのか | (0.8, 1.9, 0.1)
ヒノヒカリ |  |  | ヒノヒカリ | (0.8, 1.0, 0.1)
熊本 | 熊本 |  | general | (15.8, 6.8, 6.8)
ヒノヒカリ |  |  | ヒノヒカリ | (5.5, 2.7, 2.7)
森のくまさん |  |  | 森のくまさん | (1.6, 0.4, 0.4)
コシヒカリ |  |  | コシヒカリ | (4.3, 2.0, 2.0)
大分 | 大分 |  | general | (8.6, 9.2, 1.9)
ヒノヒカリ |  |  | ヒノヒカリ | (3.2, 3.4, 0.5)
なつほのか |  |  | なつほのか | (1.6, 2.2, 0.2)
ひとめぼれ |  |  | ひとめぼれ | (1.3, 1.3, 0.3)
宮崎 | 宮崎 |  | general | (6.9, 6.9, 6.3)
コシヒカリ |  |  | コシヒカリ | (4.4, 4.4, 4.4)
ヒノヒカリ |  |  | ヒノヒカリ | (1.9, 1.9, 1.3)
鹿児島 | 鹿児島 |  | general | (5.8, 5.8, 5.1)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 1.3, 0.7)
あきほなみ |  |  | あきほなみ | (0.4, 0.4, 0.3)
コシヒカリ |  |  | コシヒカリ | (2.4, 2.4, 2.4)
沖縄 | 沖縄 |  | general | (1.1, 1.1, 1.0)
全国① |  | YES | general | (1919.0, 1780.0, 450.0)
参前年同月(令和5年産) |  |  | 参前年同月(令和5年産) | 
考前年同月差 |  |  | 考前年同月差 | 
契約-5 |  |  | 契約-5 | 
